"Index::Grid","Index::Grid"
"Forkel_Bars::ID","ID"
"Forkel_Bars::Server","Server"
"Forkel_Bars::Name","Name"
"Forkel_Bars::Description","Description"
"Forkel_Bars::Status","Status"

"Index::Form","Index::Form"
"Forkel_Bars::Color","Color"
"Forkel_Bars::Background Color","Background Colors"

"Server::Grid","Server::Grid"
"Forkel_Bars::Name","Name"
"Forkel_Bars::Hostname","Hostname"

"Forkel_Bars::Add New","Add New"
"Forkel_Bars::Edit","Edit"
"Forkel_Bars::New","New"
"Forkel_Bars::Enabled","Enabled"
"Forkel_Bars::Disabled","Disabled"

"Forkel_Bars::The name of your environment.","The name of your environment."
"Forkel_Bars::The hostname without http and slashes /.","The hostname without http and slashes /."
"Forkel_Bars::The requested record was not found.","The requested record was not found."
"Forkel_Bars::New Record","New Record"
"Forkel_Bars::Save Record","Save Record"
"Forkel_Bars::The record ( %s ) has been saved.","The record ( %s ) has been saved."
"Forkel_Bars::An error occurred while saving this record.","An error occurred while saving this record."
"Forkel_Bars::Please select one record.","Please select one record."
"Forkel_Bars::The selected record was successfully deleted.","The selected record was successfully deleted."
